[2025-06-20T15:30:23.316Z] debug: 	Importing configs...
[2025-06-20T15:34:31.380Z] info: 	[Client Request] /fika/update/playerspawn
[2025-06-20T15:34:40.358Z] debug: 	Saving 1 profile took 0.924ms
[2025-06-20T15:34:45.348Z] info: 	[Client Request] /fika/update/ping
[2025-06-20T15:35:00.386Z] debug: 	Saving 1 profile took 0.92ms
[2025-06-20T15:35:07.848Z] info: 	[Client Request] /fika/update/setstatus
[2025-06-20T15:35:11.213Z] info: 	[Client Request] /client/game/bot/generate
[2025-06-20T15:35:11.213Z] debug: 	Generating 30 bots for cacheKey: marksmaneasy
[2025-06-20T15:35:11.213Z] debug: 	Generating 45 bots for cacheKey: assaultnormal
[2025-06-20T15:35:11.215Z] debug: 	Generating 5 bots for cacheKey: bosstagillanormal
[2025-06-20T15:35:11.215Z] debug: 	Generating 5 bots for cacheKey: gifternormal
[2025-06-20T15:35:11.215Z] debug: 	Generating 20 bots for cacheKey: pmcusecnormal
[2025-06-20T15:35:11.215Z] debug: 	Generating 20 bots for cacheKey: pmcbearnormal
[2025-06-20T15:35:12.457Z] debug: 	pmcusec Unable to spawn item emelya after 11 attempts, ignoring spawn limit
[2025-06-20T15:35:12.513Z] debug: 	pmcusec Unable to spawn item item_food_ranton after 11 attempts, ignoring spawn limit
[2025-06-20T15:35:12.546Z] debug: 	pmcbear Unable to spawn item beefstew after 11 attempts, ignoring spawn limit
[2025-06-20T15:35:12.568Z] debug: 	pmcbear Unable to spawn item canned_beef after 11 attempts, ignoring spawn limit
[2025-06-20T15:35:12.599Z] debug: 	Generated 30 marksman (marksman) easy bots
[2025-06-20T15:35:12.599Z] debug: 	Generated 45 assault (assault) normal bots
[2025-06-20T15:35:12.599Z] debug: 	Generated 5 bossTagilla (bossTagilla) normal bots
[2025-06-20T15:35:12.599Z] debug: 	Generated 5 gifter (gifter) normal bots
[2025-06-20T15:35:12.599Z] debug: 	Generated 20 pmcUSEC (pmcUSEC) normal bots
[2025-06-20T15:35:12.599Z] debug: 	Generated 20 pmcBEAR (pmcBEAR) normal bots
[2025-06-20T15:35:14.549Z] info: 	[Client Request] /singleplayer/settings/bot/maxCap/factory4_day
[2025-06-20T15:35:14.862Z] info: 	[Client Request] /launcher/profile/info
[2025-06-20T15:35:14.864Z] info: 	[Client Request] /launcher/server/version
[2025-06-20T15:35:15.181Z] info: 	[Client Request] /client/game/bot/generate
[2025-06-20T15:35:15.746Z] info: 	[Client Request] /singleplayer/scav/traitorscavhostile
[2025-06-20T15:35:18.911Z] info: 	[Client Request] /fika/update/ping
[2025-06-20T15:35:20.443Z] debug: 	Saving 1 profile took 2.141ms
[2025-06-20T15:35:20.554Z] debug: 	[WS] Pinging player: 68557efa0004cd4196f8a1f2
[2025-06-20T15:35:20.554Z] debug: 	[WS] Socket lost, deleting handle
[2025-06-20T15:35:31.753Z] info: 	[Client Request] /vcql/zones/get
[2025-06-20T15:35:31.821Z] info: 	[Client Request] /singleplayer/settings/bot/getBotBehaviours/
[2025-06-20T15:35:40.462Z] debug: 	Saving 1 profile took 1.398ms
[2025-06-20T15:35:41.368Z] info: 	[Client Request] /LateToTheParty/GetLootRankingData
[2025-06-20T15:35:51.350Z] info: 	[Client Request] /fika/update/ping
[2025-06-20T15:36:00.490Z] debug: 	Saving 1 profile took 1.36ms
[2025-06-20T15:36:14.862Z] info: 	[Client Request] /launcher/profile/info
[2025-06-20T15:36:14.865Z] info: 	[Client Request] /launcher/server/version
[2025-06-20T15:36:20.528Z] debug: 	Saving 1 profile took 1.429ms
[2025-06-20T15:36:21.374Z] info: 	[Client Request] /fika/update/ping
[2025-06-20T15:36:31.121Z] info: 	[Client Request] /fika/update/playerdied
[2025-06-20T15:36:31.257Z] info: 	[Client Request] /client/match/local/end
[2025-06-20T15:36:31.259Z] debug: 	Raid: factory4_day.Pmc.1750433670 outcome: Killed
[2025-06-20T15:36:34.211Z] debug: 	[Fika Notification Manager] Deleting client 68557efa0004cd4196f8a1f2
[2025-06-20T15:36:35.867Z] info: 	[Client Request] /launcher/profile/info
[2025-06-20T15:36:35.869Z] info: 	[Client Request] /launcher/server/version
